,area_id,hhid,persid,Gender,Age,Tripsnumberofchildren,Numberofadults,Numberofchildren,HHincome,Houseownership,Numberofcars,Surveyday,PTUSE,Destination,Parentscarlicence,Motherseducation,Fatherseducation,MothersJob,FathersJob,SI,HOME_asgs_name,MothersTripmode,trips_mode_1.2,trips_mode_1.3,trips_mode_1.4,TotalTravelTime,Totalwaittime,TotalDistance,HOME_sa4_name
62,21202155321,Y23H5280105,Y23H5280105P03,Male,9,2,2,2,2850,Fully Owned,1,Weekday,No,Education,2,No Study,No Study,Full-time Work,Part-time Work,405.277931002712,Greater Melbourne, ,Vehicle Driver,Vehicle Driver,Vehicle Driver,22.0,0.0,14.09728,Melbourne - South East
63,21202155321,Y23H5280112,Y23H5280112P04,Male,9,3,2,2,1125,Being Purchased,1,Weekday,No,Education,2,No Study,No Study,Full-time Work,Casual Work,405.277931002712,Greater Melbourne, ,Vehicle Driver,Vehicle Driver,Walking,36.0,0.0,15.26077,Melbourne - South East
64,21202155321,Y23H5280112,Y23H5280112P03,Female,11,3,2,2,1125,Being Purchased,1,Weekday,No,Education,2,No Study,No Study,Full-time Work,Casual Work,405.277931002712,Greater Melbourne, ,Vehicle Driver,Vehicle Driver,Walking,36.0,0.0,15.26077,Melbourne - South East
65,21202155321,Y23H5280113,Y23H5280113P03,Female,12,0,2,2,3750,Fully Owned,0,Weekend,No, ,2,Part-time TAFE/Uni,Part-time TAFE/Uni,Full-time Work,Full-time Work,405.277931002712,Greater Melbourne, , , , ,,,,Melbourne - South East
66,21202155321,Y23H5280119,Y23H5280119P04,Male,10,5,2,2,2200,Being Purchased,1,Weekday,No,Education,2,Part-time TAFE/Uni,Full-time TAFE/Uni,Full-time Work,Part-time Work,405.277931002712,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,84.0,0.0,41.58759,Melbourne - South East
67,21202155321,Y23H5280119,Y23H5280119P03,Male,14,3,2,2,2200,Being Purchased,1,Weekday,No,Recreational,2,Part-time TAFE/Uni,Full-time TAFE/Uni,Full-time Work,Part-time Work,405.277931002712,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,43.0,0.0,18.88427,Melbourne - South East
68,21202155321,Y23H5280120,Y23H5280120P04,Female,13,1,2,2,3225,Fully Owned,2,Weekend,No, ,2,No Study,No Study,Full-time Work,Full-time Work,405.277931002712,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,,,,Melbourne - South East
69,21202155321,Y23H5280121,Y23H5280121P03,Female,17,0,2,1,7000,Being Purchased,2,Weekend,No, ,2,No Study,No Study,Full-time Work,Full-time Work,405.277931002712,Greater Melbourne,Vehicle Driver,Vehicle Driver,Walking,Walking,,,,Melbourne - South East
70,21201154628,Y23H5280124,Y23H5280124P05,Female,11,4,2,3,3850,Fully Owned,2,Weekday,No,Education,2,No Study,No Study,Full-time Work,Full-time Work, ,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,65.0,0.0,36.62064,Melbourne - South East
71,21201154628,Y23H5280124,Y23H5280124P04,Male,15,2,2,3,3850,Fully Owned,2,Weekday,No,Education,2,No Study,No Study,Full-time Work,Full-time Work, ,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,20.0,0.0,10.65108,Melbourne - South East
72,21201154628,Y23H5280130,Y23H5280130P03,Female,9,7,2,3,4400,Being Rented,3,Weekday,No,Pick-up or Drop-off Someone,2,No Study,No Study,Full-time Work,Full-time Work, ,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Walking,49.0,0.0,15.62607,Melbourne - South East
73,21201154628,Y23H5280135,Y23H5280135P04,Female,14,0,2,2,2324,Fully Owned,2,Weekend,No, ,2,No Study,.,Retired,., ,Greater Melbourne,Walking,Walking,Vehicle Driver,Vehicle Driver,,,,Melbourne - South East
74,21201154628,Y23H5280137,Y23H5280137P03,Male,10,2,2,1,2500,Being Rented,2,Weekday,No,Education,2,No Study,No Study,Full-time Work,Keeping House, ,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,15.0,0.0,4.35468,Melbourne - South East
75,21105128129,Y23H5280208,Y23H5280208P04,Male,10,5,2,2,2775,Being Purchased,0,Weekday,No,Education,2,No Study,No Study,Full-time Work,Full-time Work,786.569826907006,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,49.0,0.0,19.3703,Melbourne - Outer East
76,21105128129,Y23H5280208,Y23H5280208P03,Female,12,2,2,2,2775,Being Purchased,0,Weekday,No,Education,2,No Study,No Study,Full-time Work,Full-time Work,786.569826907006,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,4.0,0.0,1.48,Melbourne - Outer East
77,21105127516,Y23H5280238,Y23H5280238P05,Male,11,4,2,4,5000,Being Purchased,1,Weekday,No,Education,2,No Study,No Study,Full-time Work,Full-time Work,62.1379632859367,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,40.0,0.0,19.11153,Melbourne - Outer East
78,21105127516,Y23H5280238,Y23H5280238P04,Male,13,4,2,4,5000,Being Purchased,1,Weekday,Yes,Education,2,No Study,No Study,Full-time Work,Full-time Work,62.1379632859367,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,100.0,9.0,16.1264,Melbourne - Outer East
79,21105127516,Y23H5280239,Y23H5280239P04,Female,10,3,2,2,3875,Being Purchased,2,Weekday,No,Pick-up or Drop-off Someone,2,No Study,No Study,Full-time Work,Part-time Work,62.1379632859367,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,27.0,0.0,9.18529,Melbourne - Outer East
80,21105127516,Y23H5280239,Y23H5280239P03,Female,13,3,2,2,3875,Being Purchased,2,Weekday,No,Education,2,No Study,No Study,Full-time Work,Part-time Work,62.1379632859367,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,30.0,0.0,9.18529,Melbourne - Outer East
81,21305158508,Y23H5280502,Y23H5280502P05,Male,9,2,2,3,3875,Fully Owned,3,Weekday,No,Education,2,No Study,No Study,Full-time Work,Part-time Work,3106.7210597866,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,6.0,0.0,2.38932,Melbourne - West
82,21305158508,Y23H5280502,Y23H5280502P04,Male,14,2,2,3,3875,Fully Owned,3,Weekday,No,Education,2,No Study,No Study,Full-time Work,Part-time Work,3106.7210597866,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,6.0,0.0,2.38932,Melbourne - West
83,21305158508,Y23H5280502,Y23H5280502P03,Male,16,4,2,3,3875,Fully Owned,3,Weekday,No,Education,2,No Study,No Study,Full-time Work,Part-time Work,3106.7210597866,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,16.0,0.0,4.33938,Melbourne - West
84,21305158508,Y23H5280514,Y23H5280514P03,Female,15,1,2,1,900,Fully Owned,1,Weekend,No,Social,2,No Study,No Study,Full-time Work,Part-time Work,3106.7210597866,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,60.0,0.0,4.05694,Melbourne - West
85,21305158211,Y23H5280526,Y23H5280526P03,Female,10,2,2,4,2500,Being Rented,0,Weekday,No,Education,2,No Study,No Study,Full-time Work,Keeping House,402.048731863107,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,10.0,0.0,3.50196,Melbourne - West
86,21305158211,Y23H5280539,Y23H5280539P03,Male,10,3,2,2,649,Being Rented,2,Weekday,No,Pick-up or Drop-off Someone,2,No Study,No Study,Full-time Work,Full-time Work,402.048731863107,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,45.0,0.0,29.84986,Melbourne - West
87,20703116715,Y23H5290202,Y23H5290202P04,Male,12,2,2,2,4225,Being Purchased,1,Weekday,No,Education,2,No Study,No Study,Full-time Work,Casual Work,1272.26590831802,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,7.0,0.0,2.57032,Melbourne - Inner East
88,20703116715,Y23H5290202,Y23H5290202P03,Male,15,2,2,2,4225,Being Purchased,1,Weekday,Yes,Education,2,No Study,No Study,Full-time Work,Casual Work,1272.26590831802,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,96.0,41.0,30.10664,Melbourne - Inner East
89,20703116715,Y23H5290207,Y23H5290207P04,Another term,12,1,2,3,75,Fully Owned,0,Weekend,No,At Home,2,No Study,Part-time TAFE/Uni,Keeping House,Casual Work,1272.26590831802,Greater Melbourne,Vehicle Driver, , ,Vehicle Passenger,150.0,0.0,167.50899,Melbourne - Inner East
90,20703116715,Y23H5290207,Y23H5290207P05,Male,12,1,2,3,75,Fully Owned,0,Weekend,No,At Home,2,No Study,Part-time TAFE/Uni,Keeping House,Casual Work,1272.26590831802,Greater Melbourne,Vehicle Driver, , ,Vehicle Passenger,150.0,0.0,167.50899,Melbourne - Inner East
91,20703116715,Y23H5290207,Y23H5290207P03,Male,16,0,2,3,75,Fully Owned,0,Weekend,No, ,2,No Study,Part-time TAFE/Uni,Keeping House,Casual Work,1272.26590831802,Greater Melbourne,Vehicle Driver, , ,Vehicle Passenger,,,,Melbourne - Inner East
92,20703116715,Y23H5290215,Y23H5290215P03,Male,16,4,2,2,2850,Fully Owned,1,Weekday,Yes,Education,2,No Study,No Study,Full-time Work,Full-time Work,1272.26590831802,Greater Melbourne,Walking,Walking,Walking,Walking,170.0,10.0,24.42072,Melbourne - Inner East
93,20703116715,Y23H5290215,Y23H5290215P04,Female,16,2,2,2,2850,Fully Owned,1,Weekday,No,Personal Business,2,No Study,No Study,Full-time Work,Full-time Work,1272.26590831802,Greater Melbourne,Walking,Walking,Walking,Walking,44.0,0.0,3.08802,Melbourne - Inner East
